objectid,filename,view,title,format,titledescription,material,quantity,size,repository,location-in-repository,condition,comments,date-approx,site,unit,level,original-catalog,latitude,longitude
cfh0001,IMG_4234.JPEG,Front with scale,Modified bone,JPEG,Modified bone; possibly a roach spreader plumage holder,Faunal,1,2.5 cm length; 1.6 cm width,University of Montana,B7 1.1,Broken,"Appears broken, perfect hole in center",,32MZ1,,,9285,48.014091,-102.598263
cfh0002,IMG_4245.JPEG,Front with scale,Small square piece of brass,JPEG,Square; bent sides; with decoration along,Metal; brass,1,1.8 cm length; 1.5 cm width,University of Montana,B7 1.1,Oxidized,,,32MZ1,,,9267,48.014091,-102.598263
cfh0003,IMG_4253.JPEG,Interior with scale,Transfer print body sherd,JPEG,Blue on white transfer print body sherd,Ceramic; stoneware,1,,University of Montana,B7 1.1,,"Motifs includ chevron, flower, butterfly ",,32MZ1,,,9354,48.014091,-102.598263
cfh0004,IMG_4264.JPEG,Exterior with scale,Body sherd,JPEG,Body sherd,Ceramic; stoneware,,,University of Montana,B7 1.1,,Could be plate; JO maker's mark,,32MZ1,,,9348,48.014091,-102.598263
cfh0005,IMG_4268.JPEG,With scale,White pony bead,JPEG,White 5/0 pony bead,Glass,1,9 mm,University of Montana,B7 1.1,,,,32MZ1,,,,48.014091,-102.598263
cfh0006,IMG_4278.JPEG,Interior with scale,Opaque white bottle base,JPEG,Opaque white base of glass bottle,Glass,1,7.5 cm diameter; 4 mm thick,University of Montana,B7 1.1,Smoothed edges with two grooves,,,32MZ1,,,9356,48.014091,-102.598263
cfh0007,IMG_4284.JPEG,Side with scale,"Clear glass bottle",JPEG,"Clear glass bottle finish, neck, and shoulder",Glass,1,2.6 cm diameter,University of Montana,B7 1.1,"Broken at shoulder, diseased",,,32MZ1,,,9293,48.014091,-102.598263
cfh0008,IMG_4295.JPEG,Side with scale,Axe head,JPEG,Iron axe head,Metal; iron,1,17 cm length; 11 cm height; 2.5 cm width,University of Montana,B7 1.1,,Not mentioned in report,,32MZ1,,,32,48.014091,-102.598263
cfh0009,IMG_4302.JPEG,Side with scale,Hoe head,JPEG,"Iron hoe with ""J. Young."" Listed in Appendix B as "iron garden tool part.",Metal; iron,1,17 cm length; 9 cm height,University of Montana,B7 1.1,,"Listed in Appendix B as ""iron garden tool part.""",,32MZ1,,,31,48.014091,-102.598263
cfh0010,IMG_4341.JPEG,Side with scale,Petal sleigh bell,JPEG,Casted brass petal sleigh bell,Metal; brass,1,,University of Montana,B7 1.1,Broken in two pieces,Resembles objects found at Like-A-Fishhook,,32MZ1,,,64 and 65,48.014091,-102.598263
cfh0011,IMG_4348.JPEG,Side with scale,Machine-stamped sleigh bell,JPEG,Machine-stamped sleigh bell,Metal; brass,1,,University of Montana,B7 1.1,,Still works,,32MZ1,,,93,48.014091,-102.598263
cfh0012,IMG_4365.JPEG,Side with scale,Machine-stamped sleigh bell,JPEG,Machine-stamped sleigh bell,Metal; brass,1,,University of Montana,B7 1.1,Crushed,"Made by George W. Tucker’s American Ring Company in Waterbury, CT; received patents October 24, 1876 and May 14, 1878",1876-1878,32MZ1,,,63,48.014091,-102.598263
cfh0013,IMG_4468.JPEG,Side with scale,Projectile point,JPEG,Knife River flint projectile point,Lithic; Knife River flint,1,,University of Montana,B7 1.1,Cortex present,Asymmetrical,,32MZ1,,,1,48.014091,-102.598263
cfh0014,IMG_4508.JPEG,Exterior with scale,Nailed sole of child's leather shoe,JPEG,Nail sole of leather shoe; child's size 1 (1858),Leather,1,11 cm length,University of Montana,B7 1.1,Cracked,Age of wearer likely between 1 and 4 years,,32MZ1,,,96,48.014091,-102.598263
cfh0015,IMG_4531.JPEG,Interior with scale,Sewn sole of child's leather shoe,JPEG,Sewn sole of leather shoe; child's size 1 (1858),Leather,1,11 cm length,University of Montana,B7 1.1,"Cracked, moldy",Age of wearer likely between 1 and 4 years,,32MZ1,,,38,48.014091,-102.598263
cfh0016,IMG_4806.JPEG,Side with scale,Toy cap pistol,JPEG,"Stevens 5"" VOLUNTEER cast iron cap pistol Pat. Apr. 22, 1873",Metal; iron,1,10.5 cm barrel; 6 cm height; 5 in total length,University of Montana,B7 1.3,,"PAT D APR 2273' one side; 'VOLUNTEER' other side; J. & E. Stevens Company’s VOLUNTEER cast-iron cap pistol; received patent April 22, 1873
",1873,32MZ1,,,9297,48.014091,-102.598263
cfh0017,IMG_4810.JPEG,Front with scale,Buttons cut from tin can lids,JPEG,Buttons cut from tin cans and punctured with two holes; one painted bright red and white,Metal; tin,2,4.5 cm diameter,University of Montana,B7 1.3,,"Painted red and white, two holes poked in tin can lid",,32MZ1,,,9332,48.014091,-102.598263
cfh0018,IMG_4839.JPEG,Front with scale,Brass button with inside area cut out; possibly the "toy wheel" mentioned in Appendix B,JPEG,Brass HorstmannBros & Co. Philadelphia button with inside area cut out; possibly a wheel,Metal; brass,1,3.8 cm diameter,University of Montana,B7 1.3,,"Four spokes; 'PHILADELPHIA HORSTMANN BROS & CO'; Horstmann Bros. & Co. Philadelphia is a major military uniform contractor likely made between 1867-1893
",1867-1893,32MZ1,,,9325,48.014091,-102.598263
cfh0019,IMG_4843.JPEG,Front with scale,Padlock,JPEG,Heart-shaped smokehouse padlock lock with iron body/shackle and brass keyhole,Metal; iron and brass,1,8.7 cm length; 6.5 cm width; 1.7 cm thick,University of Montana,B7 1.3,,"Stamped ‘R&E Co.’ Russell & Erwin Manufacturing Co. in New Britain, CT; can be found in 1886 catalog on page 515",1886,32MZ1,,,9245,48.014091,-102.598263
cfh0020,IMG_5074.JPEG,Top with scale,Union Pacific Railroad lantern dome,JPEG,"Union Pacific Railroad ""Adams"" lantern dome",Metal; steel,1,14.5 cm diameter,University of Montana,B7 3.2,Crushed,SEP. 24. 89 THE ADAMS & WESTLAKE CO. CHICAGO; “The Adams” railroad lantern patented by Chicago-based railroad manufacturer Adams & Westlake Co. in 1889,1889,32MZ1,,,,48.014091,-102.598263
cfh0021,IMG_5073.JPEG,Side with scale,Iron door latch,JPEG,Door or gate latch? Tent stake?,Metal; iron,1,23 cm length,University of Montana,B7 3.1,,,,32MZ1,,,,48.014091,-102.598263
cfh0022,IMG_5070.JPEG,Exterior with scale,Ribbed tin can,JPEG,Ribbed/corrugated tin can,Metal; tin,1,11.8 cm length; 12.5 cm width,University of Montana,B7 3.1,,,,32MZ1,,,,48.014091,-102.598263
cfh0023,IMG_5096.JPEG,Side with scale,Railroad spikes,JPEG,Railroad spikes,Metal; steel or iron,4,14.4 cm length; 1.3 cm width,University of Montana,B7 3.2,,,,32MZ1,,,9295 and 9156,48.014091,-102.598263
cfh0024,IMG_5078.JPEG,Side with scale,Unknown metal object,JPEG,"Tag says: ""metal handle,"" possibly a spout",Metal,1,11.4 cm length; 10.2 cm width,University of Montana,B7 3.2,,,,32MZ1,,,9159,48.014091,-102.598263
cfh0025,IMG_5334.JPEG,Interior with scale,Crown cap bottle cap,JPEG,Perforated crown cap bottle cap,Metal,1,2.5 cm diameter,University of Montana,B7 3.4,Perforated in center,Crown caps date post-1892,1892,32MZ1,Cabin 1,Level 2,9175,48.014091,-102.598263
cfh0026,IMG_5333.JPEG,Side with scale,Harmonica,JPEG,"Tag says: ""part of mouth organ""",Metal; brass,1,5.2 cm length; 2.3 cm width,University of Montana,B7 3.4,Broken,,,32MZ1,Cabin 1,Burned area,9247,48.014091,-102.598263
cfh0027,IMG_5089.JPEG,Side with scale,Spoon or ladle,JPEG,Spoon or ladle with hole to hang,Metal,1,34.5 cm length,University of Montana,B7 3.2,Bent,Hole to hang,,32MZ1,,,9158,48.014091,-102.598263
cfh0028,IMG_5341.JPEG,Side with scale,Unknown iron object,JPEG,"Tag says: ""iron  piece""",Metal; iron,1,5 cm diameter; 1.7 cm width,University of Montana,B7 3.4,Broken,Circular with circular cut outs,,32MZ1,Cabin 1,Level 2,9184,48.014091,-102.598263
cfh0029,IMG_4745.JPEG,Side with scale,Spur,JPEG,Texas-style or cowboy spur,Metal; iron or steel,1,13 cm length; 10 cm width; 5 cm diameter rowel,University of Montana,B7 1.3,,9 or 10-point rowel,,32MZ1,,,,48.014091,-102.598263
cfh0030,IMG_4699.JPEG,Interior with scale,Perforated tin can lid,JPEG,Tin can lid with hole in center,Metal; tin,1,6.2 cm diameter,University of Montana,B7 1.2,,Resembles object collected by Gilbert L. Wilson from Like-A-Fishhook Village,,32MZ1,,,9312,48.014091,-102.598263
cfh0031,IMG_4700.JPEG,Angled with scale,Railroad bolt and nuts,JPEG,"Square nut, round nut, and large bolt. Resembles railroad nuts and bolts. Possibly the "small doorknob" mentioned in Appendix B",Metal; iron or steel,1,7 cm length,University of Montana,B7 1.2,,Resembles railroad nuts and bolts. Possibly the "small doorknob" mentioned in Appendix B,,32MZ1,,,,48.014091,-102.598263
cfh0032,IMG_4706.JPEG,Side with scale,Harmonica,JPEG,Harmonica,Metal; brass,1,10 cm length; 2.5 cm width,University of Montana,B7 1.3,Wood reed within brass casing,,,32MZ1,,,,48.014091,-102.598263
cfh0033,IMG_4375.JPEG,Top-down with scale,Unknown metal object,JPEG,Bell? Part of a lamp or lantern?,Metal,1,2.5 cm height; 3.3 cm diameter,University of Montana,B7 1.1,Perforation in bottom,,,32MZ1,,,91,48.014091,-102.598263
cfh0034,IMG_4441.JPEG,Side with scale,Hitch and nail,JPEG,Hitch likely from a plow yoke. Wood can still be seen inside.,Metal; iron,1,8 cm length,University of Montana,B7 1.1,Wood can still be seen inside,,,32MZ1,,,,48.014091,-102.598263
cfh0035,IMG_4417.JPEG,Side with scale,Comb,JPEG,Comb with no handle and broken teeth,Metal,1,8.5 cm length,University of Montana,B7 1.1,Teeth broken; no handle,,,32MZ1,,,69,48.014091,-102.598263
