objectid,filename,view,title,format,titledescription,background-importance,material,quantity,size,repository,location-in-repository,condition,comments,date-approx,site,unit,level,original-catalog,latitude,longitude,subject 
cfh0001,IMG_4234_th.jpg,Front with scale,Roach spreader plumage holder,JPG,Modified bone roach spreader plumage holder (possibly),"A roach is a headdress worn by men typically constructed of animal hair (from porcupine the tail of the white-tail deer). A roach requireds a spreader (like this Mandan object from the NMAI) to fan out the crest of hair. Although unconfirmed, the modified bone object resembles roach spreader plumage holders, and could very well be a broken piece of one. Its presence at the site is evidence of male regalia and Indigenous cultural adornment.",Faunal,1,2.5 cm length; 1.6 cm width,University of Montana,B7 1.1,Broken,,,32MZ1,,,9285,48.014091,-102.598263,Faunal
cfh0002,IMG_4245.JPEG,Front with scale,Piece of brass,JPEG,"Small square piece of brass with bent sides and decoration along edges, possibly a button ","Due to the object's size and detailed decoration, it is likely a shank button missing the shank. Its presence is indicative of the detailed nature of late nineteenth-century Native American dress.",Metal,1,1.8 cm length; 1.5 cm width,University of Montana,B7 1.1,Oxidized,,,32MZ1,,,9267,48.014091,-102.598263,Metal
cfh0003,IMG_4253_th.jpg,Interior with scale,Transfer print sherd,JPG,"Blue on white transfer print stoneware body sherd with chevron, flower, and butterfly motifs ",,Ceramic,1,,University of Montana,B7 1.1,,,1883,32MZ1,,,9354,48.014091,-102.598263,Ceramic
cfh0004,IMG_4264.JPEG,Exterior with scale,Body sherd,JPEG,"Stoneware body sherd with 'JO' maker's mark, could be Johnson Bros, Hanley, UK founded in 1883",,Ceramic,,,University of Montana,B7 1.1,,,,32MZ1,,,9348,48.014091,-102.598263,Ceramic
cfh0005,IMG_4268_th.jpg,With scale,Chalk white bead,JPG,Chalk white 9/0 crow (pony) bead,Beads are essential for Native ornamentation and adornment decorating everyday items and clothing. Beadwork is a skill many women passed on from generation to generation. ,Glass,1,9 mm,University of Montana,B7 1.1,,,,32MZ1,,,,48.014091,-102.598263,Glass
cfh0006,IMG_4278_th.jpg,Interior with scale,Opaque white glass bottle ,JPG,Opaque white (milk) base and heel of glass bottle,"Milk glass or opaque white glass, was most commonly used in cosmetic and toiletry bottles (1870s to 1920s) and ointment cream jars (1890s to 1950s), and generally dates to the 1870s onwards. This object is the base and heel of a bottle and has two grooves on its left side.",Glass,1,7.5 cm diameter; 4 mm thick,University of Montana,B7 1.1,Smoothed edges with two grooves,,1870,32MZ1,,,9356,48.014091,-102.598263,Glass
cfh0007,IMG_4284.JPEG,Side with scale,Clear glass bottle ,JPEG,"Clear glass bottle finish, neck, and shoulder",Based on the shape of the bottle's shoulder it was either a liquor/spirits bottle or a medicinal/prescription bottle that would have had a cork stopper. ,Glass,1,2.6 cm diameter,University of Montana,B7 1.1,"Broken at shoulder, diseased",,,32MZ1,,,9293,48.014091,-102.598263,Glass
cfh0008,IMG_4295.JPEG,Side with scale,Axe head,JPEG,Iron axe head,This iron axe head was not mentioned in the original archaeological report.,Metal,1,17 cm length; 11 cm height; 2.5 cm width,University of Montana,B7 1.1,,,,32MZ1,,,32,48.014091,-102.598263,Metal
cfh0009,IMG_4302_th.jpg,Side with scale,Hoe head,JPG,"Iron hoe with 'J. Young.' Listed in ""Appendix B Objects from Cabin 1"" as ""iron garden tool part""","Traditionally the Mandan, Hidatsa, and Arikara used bison scapula as hoe heads to work in their gardens, but by the 1880s the bison population was decimated, so usage of metal tools became more prevalent. The garden plots were owned and maintained by the Native women of a community, so this hoe would have belonged to the woman living in Cabin 1 for use in her garden down in the river bottom. ",Metal,1,17 cm length; 9 cm height,University of Montana,B7 1.1,,,,32MZ1,Cabin 1,,31,48.014091,-102.598263,Metal
cfh0010,IMG_4341_th.jpg,Side with scale,Petal sleigh bell,JPG,Casted brass petal sleigh bell,"Sleigh bells like this object are used in regalia worn by members of the Grass Dance Society, the ceremonial society that supervised the central earthlodge at the village. Society members partook in the Grass Dance, a warrior's dance, with outfits that, according to a Hidatsa man known as Wolf Chief, ""consisted of head dresses, sleigh bells for the garters, otter skins for the head, armlets of bead work, yarn belts, and the like.” There were a total of four sleigh bells found; this particular bell is a casted brass petal bell. It is the only one of the four that is casted brass, while the others are machine-stamped, a technology not widespread until the mid-to-late 1870s. Archival images depict former residents of Crow-Flies-High Village partaking in the Grass Dance and the sleigh bell garters.",Metal,1,,University of Montana,B7 1.1,Broken in two pieces,,,32MZ1,,,64 and 65,48.014091,-102.598263,Metal
