objectid,filename,view,title,format,titledescription,material,quantity,size,weight,repository,location-in-repository,condition,comments,date-approx,site,unit,level,feature,original-catalog
cfh0001,IMG_4234,Front with scale,Modified bone pendant,jpeg,Modified bone pendant ,Faunal,1,2.5 cm length; 1.6 cm width,,University of Montana,B7 1.1,Broken,"Appears broken, perfect hole in center",,32MZ1,,,,9285
cfh0001,IMG_4235,Back with scale,Modified bone pendant,jpeg,Modified bone pendant ,Faunal,1,2.5 cm length; 1.6 cm width,,University of Montana,B7 1.1,Broken,"Appears broken, perfect hole in center",,32MZ1,,,,9285
cfh0001,IMG_4238,Front ,Modified bone pendant,jpeg,Modified bone pendant ,Faunal,1,2.5 cm length; 1.6 cm width,,University of Montana,B7 1.1,Broken,"Appears broken, perfect hole in center",,32MZ1,,,,9285
cfh0002,IMG_4243,Back with scale,Small square piece of brass,jpeg,"Square, bent sides, with decoration along",Metal; brass,1,1.8 cm length; 1.5 cm width,,University of Montana,B7 1.1,Oxidized,,,32MZ1,,,,9267
cfh0002,IMG_4245,Front with scale,Small square piece of brass,jpeg,"Square, bent sides, with decoration along",Metal; brass,1,1.8 cm length; 1.5 cm width,,University of Montana,B7 1.1,Oxidized,,,32MZ1,,,,9267
cfh0003,IMG_4251,Exterior with scale,Transfer print body sherd,jpeg,Blue on white transfer print body sherd,Ceramic; stoneware,1,,,University of Montana,B7 1.1,,"Motifs includ chevron, flower, butterfly ",,32MZ1,,,,9354
cfh0003,IMG_4252,Interior with scale,Transfer print body sherd,jpeg,Blue on white transfer print body sherd,Ceramic; stoneware,1,,,University of Montana,B7 1.1,,"Motifs includ chevron, flower, butterfly ",,32MZ1,,,,9354
cfh0004,IMG_4264,Exterior with scale,Body sherd,jpeg,Body sherd,Ceramic; stoneware,,,,University of Montana,B7 1.1,,Could be plate; JO maker's mark,,32MZ1,,,,9348
cfh0004,IMG_4266,Interior with scale,Body sherd,jpeg,Body sherd,Ceramic; stoneware,1,,,University of Montana,B7 1.1,,Could be plate; JO maker's mark,,32MZ1,,,,9348
cfh0005,IMG_4268,With scale,White pony bead,jpeg,White 5/0 pony bead,Glass,1,9 mm,,University of Montana,B7 1.1,,,,32MZ1,,,,
cfh0005,IMG_4270,With scale,White pony bead,jpeg,White 5/0 pony bead,Glass,1,9 mm,,University of Montana,B7 1.1,,,,32MZ1,,,,
cfh0006,IMG_4278,Interior with scale,Opaque white bottle base,jpeg,Opaque white base of glass bottle ,Glass,1,7.5 cm diameter; 4 mm thick,,University of Montana,B7 1.1,Smoothed edges with two grooves,,,32MZ1,,,,9356
cfh0006,IMG_4279,Exterior with scale,Opaque white bottle base,jpeg,Opaque white base of glass bottle ,Glass,1,7.5 cm diameter; 4 mm thick,,University of Montana,B7 1.1,Smoothed edges with two grooves,,,32MZ1,,,,9356
cfh0006,IMG_4283,Interior angled,Opaque white bottle base,jpeg,Opaque white base of glass bottle ,Glass,1,7.5 cm diameter; 4 mm thick,,University of Montana,B7 1.1,Smoothed edges with two grooves,,,32MZ1,,,,9356
cfh0007,IMG_4284,Side with scale,"Clear glass bottle finish, neck, and shoulder",jpeg,"Clear glass bottle finish, neck, and shoulder",Glass,1,2.6 cm diameter,,University of Montana,B7 1.1,"Broken at shoulder, diseased",,,32MZ1,,,,9293
cfh0007,IMG_4287,Top-down with scale,"Clear glass bottle finish, neck, and shoulder",jpeg,"Clear glass bottle finish, neck, and shoulder",Glass,1,2.6 cm diameter,,University of Montana,B7 1.1,"Broken at shoulder, diseased",,,32MZ1,,,,9293
cfh0007,IMG_4290,Close up,"Clear glass bottle finish, neck, and shoulder",jpeg,"Clear glass bottle finish, neck, and shoulder",Glass,1,2.6 cm diameter,,University of Montana,B7 1.1,"Broken at shoulder, diseased",,,32MZ1,,,,9293
cfh0008,IMG_4295,Side with scale,Axe head,jpeg,Iron axe head,Metal; iron,1,17 cm length; 11 cm height; 2.5 cm width ,,University of Montana,B7 1.1,,Not mentioned in report,,32MZ1,,,,32
cfh0008,IMG_4297,Side with scale,Axe head,jpeg,Iron axe head,Metal; iron,1,17 cm length; 11 cm height; 2.5 cm width ,,University of Montana,B7 1.1,,Not mentioned in report,,32MZ1,,,,32
cfh0008,IMG_4301,Angled close up,Axe head,jpeg,Iron axe head,Metal; iron,1,17 cm length; 11 cm height; 2.5 cm width ,,University of Montana,B7 1.1,,Not mentioned in report,,32MZ1,,,,32
cfh0009,IMG_4302,Side with scale,Hoe head,jpeg,"Iron hoe with ""J. Young""",Metal; iron,1,17 cm length; 9 cm height ,,University of Montana,B7 1.1,,"Not mentioned in report; ""J. Young"" maker's mark",,32MZ1,,,,31
cfh0009,IMG_4303,Side with scale,Hoe head,jpeg,"Iron hoe with ""J. Young""",Metal; iron,1,17 cm length; 9 cm height ,,University of Montana,B7 1.1,,"Not mentioned in report; ""J. Young"" maker's mark",,32MZ1,,,,31
cfh0009,IMG_4307,Close up of maker's mark,Hoe head,jpeg,"Iron hoe with ""J. Young""",Metal; iron,1,17 cm length; 9 cm height ,,University of Montana,B7 1.1,,"Not mentioned in report; ""J. Young"" maker's mark",,32MZ1,,,,31
cfh0010,IMG_4341,Side with scale,Petal sleigh bell,jpeg,Casted brass petal sleigh bell,Metal; brass,1,,,University of Montana,B7 1.1,Broken in two pieces,,,32MZ1,,,,64; 65
cfh0010,IMG_4342,Side with scale,Petal sleigh bell,jpeg,Casted brass petal sleigh bell,Metal; brass,1,,,University of Montana,B7 1.1,Broken in two pieces,,,32MZ1,,,,64; 65
cfh0010,IMG_4346,Close up,Petal sleigh bell,jpeg,Casted brass petal sleigh bell,Metal; brass,1,,,University of Montana,B7 1.1,Broken in two pieces,,,32MZ1,,,,64; 65
cfh0011,IMG_4348,Side with scale,Machine-stamped sleigh bell,jpeg,Machine-stamped sleigh bell,Metal; brass,1,,,University of Montana,B7 1.1,,Still works,,32MZ1,,,,93
cfh0011,IMG_4349,Side with scale,Machine-stamped sleigh bell,jpeg,Machine-stamped sleigh bell,Metal; brass,1,,,University of Montana,B7 1.1,,Still works,,32MZ1,,,,93
cfh0011,IMG_4350,Side with scale,Machine-stamped sleigh bell,jpeg,Machine-stamped sleigh bell,Metal; brass,1,,,University of Montana,B7 1.1,,Still works,,32MZ1,,,,93
cfh0012,IMG_4363,Side with scale,Machine-stamped sleigh bell,jpeg,Machine-stamped sleigh bell,Metal; brass,1,,,University of Montana,B7 1.1,Crushed,"Made by George W. Tucker’s American Ring Company in Waterbury, CT; received patents October 24, 1876 and May 14, 1878",1876-1878,32MZ1,,,,63
cfh0012,IMG_4365,Side with scale,Machine-stamped sleigh bell,jpeg,Machine-stamped sleigh bell,Metal; brass,1,,,University of Montana,B7 1.1,Crushed,"Made by George W. Tucker’s American Ring Company in Waterbury, CT; received patents October 24, 1876 and May 14, 1878",1876-1878,32MZ1,,,,63
cfh0012,IMG_4369,Close up of mark,Machine-stamped sleigh bell,jpeg,Machine-stamped sleigh bell,Metal; brass,1,,,University of Montana,B7 1.1,Crushed,"Made by George W. Tucker’s American Ring Company in Waterbury, CT; received patents October 24, 1876 and May 14, 1878",1876-1878,32MZ1,,,,63
cfh0013,IMG_4468,Side with scale,Projectile point,jpeg,Projectile point,Lithic; Knife River flint,1,,,University of Montana,B7 1.1,,Asymmetrical,,32MZ1,,,,1
cfh0013,IMG_4469,Side with scale,Projectile point,jpeg,Projectile point,Lithic; Knife River flint,1,,,University of Montana,B7 1.1,,Asymmetrical,,32MZ1,,,,1
cfh0014,IMG_4508,Exterior with scale,Nailed sole of leather shoe,jpeg,Nail sole of leather shoe; child's size 1 (1858),Leather,1,11 cm length,,University of Montana,B7 1.1,Cracked,,,32MZ1,,,,96
cfh0014,IMG_4509,Interior with scale,Nailed sole of leather shoe,jpeg,Nail sole of leather shoe; child's size 1 (1858),Leather,1,11 cm length,,University of Montana,B7 1.1,Cracked,,,32MZ1,,,,96
cfh0015,IMG_4528,Exterior with scale,Sewn sole of leather shoe,jpeg,Sewn sole of leather shoe,Leather,1,11 cm length,,University of Montana,B7 1.1,"Cracked, moldy",,,32MZ1,,,,38
cfh0015,IMG_4531,Interior with scale,Sewn sole of leather shoe,jpeg,Sewn sole of leather shoe,Leather,1,11 cm length,,University of Montana,B7 1.1,"Cracked, moldy",,,32MZ1,,,,38
cfh0016,IMG_4806,Side with scale,Toy cap pistol,jpeg,"Stevens 5"" VOLUNTEER cast iron cap pistol Pat. Apr. 22, 1873",Metal; iron,1,10.5 cm barrel; 6 cm height; 5 in total length,,University of Montana,B7 1.3,,"PAT D APR 2273' one side; 'VOLUNTEER' other side; J. & E. Stevens Company’s VOLUNTEER cast-iron cap pistol; received patent April 22, 1873
",1873,32MZ1,,,,9297
cfh0016,IMG_4807,Side with scale,Toy cap pistol,jpeg,"Stevens 5"" VOLUNTEER cast iron cap pistol Pat. Apr. 22, 1873",Metal; iron,1,10.5 cm barrel; 6 cm height; 5 in total length,,University of Montana,B7 1.3,,"PAT D APR 2273' one side; 'VOLUNTEER' other side; J. & E. Stevens Company’s VOLUNTEER cast-iron cap pistol; received patent April 22, 1873
",1873,32MZ1,,,,9297
cfh0016,IMG_4808,Close up of VOLUNTEER,Toy cap pistol,jpeg,"Stevens 5"" VOLUNTEER cast iron cap pistol Pat. Apr. 22, 1873",Metal; iron,1,10.5 cm barrel; 6 cm height; 5 in total length,,University of Montana,B7 1.3,,"PAT D APR 2273' one side; 'VOLUNTEER' other side; J. & E. Stevens Company’s VOLUNTEER cast-iron cap pistol; received patent April 22, 1873
",1873,32MZ1,,,,9297
cfh0016,IMG_4809,Close up of PAT D APR 2273,Toy cap pistol,jpeg,"Stevens 5"" VOLUNTEER cast iron cap pistol Pat. Apr. 22, 1873",Metal; iron,1,10.5 cm barrel; 6 cm height; 5 in total length,,University of Montana,B7 1.3,,"PAT D APR 2273' one side; 'VOLUNTEER' other side; J. & E. Stevens Company’s VOLUNTEER cast-iron cap pistol; received patent April 22, 1873
",1873,32MZ1,,,,9297
cfh0017,IMG_4810,Front with scale,Buttons cut from tin can lids,jpeg,Buttons cut from tin cans and punctured with two holes; one painted bright red and white,Metal; tin,2,4.5 cm diameter,,University of Montana,B7 1.3,,"Painted red and white, two holes poked in tin can lid",,32MZ1,,,,9332
cfh0017,IMG_4811,Back with scale,Buttons cut from tin can lids,jpeg,Buttons cut from tin cans and punctured with two holes; one painted bright red and white,Metal; tin,2,4.5 cm diameter,,University of Montana,B7 1.3,,"Painted red and white, two holes poked in tin can lid",,32MZ1,,,,9332
cfh0018,IMG_4838,Back with scale,Brass button with inside area cut out; possibly a wheel,jpeg,Brass HorstmannBros & Co. Philadelphia button with inside area cut out; possibly a wheel,Metal; brass,1,3.8 cm diameter,,University of Montana,B7 1.3,,"Four spokes; 'PHILADELPHIA HORSTMANN BROS & CO'; Horstmann Bros. & Co. Philadelphia is a major military uniform contractor likely made between 1867-1893
",1867-1893,32MZ1,,,,9325
cfh0018,IMG_4839,Front with scale,Brass button with inside area cut out; possibly a wheel,jpeg,Brass HorstmannBros & Co. Philadelphia button with inside area cut out; possibly a wheel,Metal; brass,1,3.8 cm diameter,,University of Montana,B7 1.3,,"Four spokes; 'PHILADELPHIA HORSTMANN BROS & CO'; Horstmann Bros. & Co. Philadelphia is a major military uniform contractor likely made between 1867-1893
",1867-1893,32MZ1,,,,9325
cfh0018,IMG_4840,Close up of maker's mark,Brass button with inside area cut out; possibly a wheel,jpeg,Brass HorstmannBros & Co. Philadelphia button with inside area cut out; possibly a wheel,Metal; brass,1,3.8 cm diameter,,University of Montana,B7 1.3,,"Four spokes; 'PHILADELPHIA HORSTMANN BROS & CO'; Horstmann Bros. & Co. Philadelphia is a major military uniform contractor likely made between 1867-1893
",1867-1893,32MZ1,,,,9325
cfh0019,IMG_4843,Front with scale,Padlock,jpeg,Heart-shaped smokehouse padlock lock with iron body/shackle and brass keyhole,Metal; iron and brass,1,8.7 cm length; 6.5 cm width; 1.7 cm thick,,University of Montana,B7 1.3,,"Stamped ‘R&E Co.’ Russell & Erwin Manufacturing Co. in New Britain, CT; can be found in 1886 catalog on page 515",1886,32MZ1,,,,9245
cfh0019,IMG_4844,Back with scale,Padlock,jpeg,Heart-shaped smokehouse padlock lock with iron body/shackle and brass keyhole,Metal; iron and brass,1,8.7 cm length; 6.5 cm width; 1.7 cm thick,,University of Montana,B7 1.3,,"Stamped ‘R&E Co.’ Russell & Erwin Manufacturing Co. in New Britain, CT; can be found in 1886 catalog on page 516",1886,32MZ1,,,,9245
cfh0019,IMG_4848,Close up of maker's mark,Padlock,jpeg,Heart-shaped smokehouse padlock lock with iron body/shackle and brass keyhole,Metal; iron and brass,1,8.7 cm length; 6.5 cm width; 1.7 cm thick,,University of Montana,B7 1.3,,"Stamped ‘R&E Co.’ Russell & Erwin Manufacturing Co. in New Britain, CT; can be found in 1886 catalog on page 517",1886,32MZ1,,,,9245
cfh0020,IMG_5074,Top with scale,Union Pacific Railroad lantern dome,jpeg,"Union Pacific Railroad ""Adams"" lantern dome",Metal; steel,1,14.5 cm diameter,,University of Montana,B7 3.2,Crushed,SEP. 24. 89 THE ADAMS & WESTLAKE CO. CHICAGO; “The Adams” railroad lantern patented by Chicago-based railroad manufacturer Adams & Westlake Co. in 1889,1889,32MZ1,,,,
cfh0020,IMG_5076,Underside with scale,Union Pacific Railroad lantern dome,jpeg,"Union Pacific Railroad ""Adams"" lantern dome",Metal; steel,1,14.5 cm diameter,,University of Montana,B7 3.2,Crushed,SEP. 24. 89 THE ADAMS & WESTLAKE CO. CHICAGO; “The Adams” railroad lantern patented by Chicago-based railroad manufacturer Adams & Westlake Co. in 1889,1889,32MZ1,,,,
cfh0020,IMG_5077,Close up of maker's mark,Union Pacific Railroad lantern dome,jpeg,"Union Pacific Railroad ""Adams"" lantern dome",Metal; steel,1,14.5 cm diameter,,University of Montana,B7 3.2,Crushed,SEP. 24. 89 THE ADAMS & WESTLAKE CO. CHICAGO; “The Adams” railroad lantern patented by Chicago-based railroad manufacturer Adams & Westlake Co. in 1889,1889,32MZ1,,,,
